date,player_nickname,total_net,player_id,total_buy_in,total_buy_out,total_stack,total_sessions
2026-02-13,hyq,204,HZkdinonr0,22089,20489,1804,5
2026-02-13,hzh,261,dufD30pdn8,200,461,0,1
2026-02-13,Nuo,58,txW4Zv0Ud7,200,258,0,1
2026-02-13,cy,-543,A4iDUuyzZu,1300,757,0,1
2026-02-13,lmm,-213,0_1uK8q5GK,400,187,0,2
2026-02-13,SW,-17,AJPxTyKZVx,200,183,0,1
2026-02-13,mouyu1021,109,UAV9Myl4l0,400,509,0,1
2026-02-13,LAN,-145,UX6K7gIzlC,400,255,0,1
2026-02-13,ranipad,-86,GZx1ww5n4I,600,514,0,1
2026-02-13,zqs,258,hniWaJjmxX,500,758,0,1
2026-02-13,ran,25,PU2Q0cPizs,200,225,0,1
2026-02-13,wyf,-200,1MpfhhVIal,200,0,0,1
2026-02-13,cy,-200,WiCivwVmwX,20000,19800,0,1
2026-02-13,wjh,489,yQzNmdWzgU,40000,39600,889,1
2026-02-13,QQ,0,7B9paAEQQn,200,200,0,1
