player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"nw",pNAnuyycHK,2026-02-14T17:49:07.308Z,2026-02-14T18:02:57.345Z,400,301,0,-99
"lmm",4Iies5lZZX,2026-02-14T17:46:42.038Z,2026-02-14T18:02:30.130Z,400,635,0,235
"zjq",hrS5DgYeW9,2026-02-14T17:10:45.825Z,,200,,410,210
"zjq",hrS5DgYeW9,2026-02-14T17:02:51.290Z,2026-02-14T17:08:30.278Z,200,0,0,-200
"lmm",4Iies5lZZX,2026-02-14T17:00:33.679Z,2026-02-14T17:43:52.678Z,238,0,0,-238
"wjh",yQzNmdWzgU,2026-02-14T16:36:43.450Z,2026-02-14T17:54:31.219Z,710,761,0,51
"zjq",hrS5DgYeW9,2026-02-14T16:15:46.430Z,2026-02-14T17:02:00.454Z,334,0,0,-334
"lmm",4Iies5lZZX,2026-02-14T15:47:07.891Z,2026-02-14T16:58:52.442Z,400,238,0,-162
"L4tent(2)",gQ7LdQUhGg,2026-02-14T15:14:27.496Z,2026-02-14T17:27:50.555Z,200,706,0,506
"nw",gTBoFhSFHs,2026-02-14T15:12:43.429Z,2026-02-14T17:47:22.693Z,720,265,0,-455
"lmm",4Iies5lZZX,2026-02-14T15:11:41.263Z,2026-02-14T15:45:43.656Z,200,0,0,-200
"zjq",hrS5DgYeW9,2026-02-14T14:49:55.891Z,2026-02-14T16:06:41.571Z,200,134,0,-66
"wn",7pSYqvWnZz,2026-02-14T14:32:12.962Z,2026-02-14T15:11:41.258Z,300,323,0,23
"mouyu1021",UAV9Myl4l0,2026-02-14T14:33:14.937Z,,200,,1008,808
"hzh",dufD30pdn8,2026-02-14T14:31:05.977Z,2026-02-14T16:30:08.770Z,200,667,0,467
"Nuo",txW4Zv0Ud7,2026-02-14T14:31:05.974Z,2026-02-14T17:55:06.340Z,600,486,0,-114
"zjq",hrS5DgYeW9,2026-02-14T14:28:47.322Z,2026-02-14T14:49:31.758Z,200,0,0,-200
"wmy",ZPH3YU1mvv,2026-02-14T14:27:21.289Z,2026-02-14T14:49:31.764Z,200,223,0,23
"lmm",4Iies5lZZX,2026-02-14T14:27:21.282Z,2026-02-14T15:09:48.502Z,200,0,0,-200
"hyq",HZkdinonr0,2026-02-14T14:27:21.287Z,2026-02-14T18:01:36.445Z,1000,696,0,-304
"cy",FA5rlbICpy,2026-02-14T14:27:21.285Z,2026-02-14T16:28:54.732Z,200,139,0,-61
"wjh",yQzNmdWzgU,2026-02-14T14:27:21.280Z,2026-02-14T16:35:02.967Z,400,710,0,310
